CRE,Cod. INEP,Município,Latitude,Longitude,Idt. Estab,Designação,Denominação,Endereço,Fone,CEP,Cod.Munic.IBGE (7)
1,43105998,Porto Alegre,"-30,01658922","-51,14875294",10599,Esc Est Ens Fun,Brigadeiro Francisco de Lima e Silva,R Tunisia 60,5133489390,91370290,4314902
1,43106005,Porto Alegre,"-30,07367483","-51,21322587",10600,Esc Est Ens Fun,Brigadeiro Silva Paes,R Prof Clemente Pinto 555,5132339765,90870220,4314902
1,43106013,Porto Alegre,"-30,01442175","-51,21146634",10601,Esc Est Ens Fun,Camila Furtado Alves,R Almirante Barroso 79,(51) 3222-2438,90220021,4314902
1,43106021,Porto Alegre,"-30,04680565","-51,22370239",10602,Esc Est Ens Fun,Cândido Portinari,R Múcio Teixeira 252,5132210932,90050360,4314902
1,43106030,Porto Alegre,"-29,99375974","-51,19820301",10603,Esc Est Ens Fun,Dr Carlos Barbosa Gonçalves,Trv Dr Heinzelmann 250,5133711590,90240100,4314902
1,43106048,Porto Alegre,"-29,98027626","-51,19274713",10604,Col Estadual,Carlos Fagundes de Mello,R Irma Maria Jose Trevisan 200,5133744722,90250430,4314902
1,43106056,Porto Alegre,"-30,07945627","-51,20816485",10605,Esc Est Ens Med,Ceara,Av Arnaldo Bohrer 98,(51) 3336-7222,91720130,4314902
1,43106072,Porto Alegre,"-30,03384891","-51,16408512",10607,Esc Est Ens Fun,Prudente de Morais,R Dr. Prudente de Morais 27,(51) 3334-1962,91330170,4314902
1,43106080,Porto Alegre,"-30,14639375","-51,22074095",10608,Esc Est Ens Fun,Clotilde Cachapuz de Medeiros,R dos Arachanes 242,(51) 3246-5993,91770130,4314902
1,43106099,Porto Alegre,"-30,04426604","-51,16375554",10609,Esc Est Ens Fun,Coelho Neto,R Alexandre Herculano 11,5133869070,91420360,4314902
1,43106102,Porto Alegre,"-30,06663995","-51,22188692",10610,Esc Est Ens Fun,Coronel Tito Marques Fernandes,R Cleveland Junto A Dl 250,5132170068,90850240,4314902
1,43106110,Porto Alegre,"-30,20464194","-51,1161375",10611,Esc Est Ens Fun,General Neto,Av Avenida Edgar Pires de Castro 10521,(51) 3261-7953,91785669,4314902
1,43106129,Porto Alegre,"-30,1644413","-51,22820688",10612,Esc Est Ens Fun,Custodio de Mello,R Argemiro Ogando Correa 220 V Sargento,(51) 3249-3020,91770810,4314902
1,43106137,Porto Alegre,"-30,0747058","-51,19267119",10613,Esc Est Ens Fun,Dom Pedro I,R Pedro Boticario 654,(51) 3354-5763,90660070,4314902
1,43106145,Porto Alegre,"-30,0806583","-51,22576415",10614,Esc Est Ens Fun,Almirante Álvaro Alberto da Motta e Silva,R Dona Helena 100 Vila Barra,(51) 3266-6876,90830585,4314902
1,43106153,Porto Alegre,"-30,06095","-51,171967",10615,Esc Est Ens Fun,Desiderio Torquato Finamor,Av Bento Goncalves 7500,5133851023,91540000,4314902
1,43106161,Porto Alegre,"-30,01803024","-51,16129845",10616,Esc Est Ed Bas,Dolores Alcaraz Caldas,R Afonso Celso Pupe da Silveira 25,5133415955,91360020,4314902
1,43106170,Porto Alegre,"-30,0366186","-51,18347276",10617,Esc Est Ens Fun,Imperatriz Leopoldina,Av Avenida Itajaí 241,(51) 3331-2910,90470140,4314902
1,43106188,Porto Alegre,"-30,12059979","-51,1765247",10618,Esc Est Ens Fun,Dona Luiza Freitas Vale Aranha,Etr Estrada Costa Gama 801,(51) 3248-7870,91787311,4314902
1,43106196,Porto Alegre,"-30,09802359","-51,12649147",10619,Esc Est Ens Med,Rafaela Remiao,Etr Joao de Oliveira Remiao 2689,(51) 3319-8389,91550000,4314902
1,43106200,Porto Alegre,"-30,05239199","-51,19494438",10620,Esc Est Ens Fun,Dr Emílio Kemp,R Monteiro Lobato 475,5133366212,90620270,4314902
1,43106218,Porto Alegre,"-29,99859554","-51,12757576",10621,Esc Est Ens Fun,Dr Ferreira de Abreu,R Batovi 25,5133652555,91130520,4314902
1,43106226,Porto Alegre,"-30,023141","-51,148709",10622,Esc Est Ens Fun,Dr João Batista de Lacerda,R Bispo Sardinha 159,(51) 3340-7175,91370130,4314902
1,43106234,Porto Alegre,"-30,0933062","-51,17387921",10623,Esc Est Ens Fun,Dr José Carlos Ferreira,R Mario de Artagao 455 Predio,(51) 3384-2015,90680090,4314902
1,43106242,Porto Alegre,"-30,18527274","-51,20921691",10624,Esc Est Ens Fun,Dr José Loureiro da Silva,Etr Estrada Retiro da Ponta Grossa 3541,(51) 3248-8066,91780590,4314902
1,43106250,Porto Alegre,"-30,0740539","-51,16903667",10625,Esc Est Ens Fun,Dr Martins Costa Júnior,R D Firmina 1377,(51) 3318-1130,91520210,4314902
1,43106277,Porto Alegre,"-30,06605579","-51,16754508",10627,Esc Est Ens Med,Dr Oscar Tollens,R Vidal de Negreiros 432,5133847067,91520480,4314902
1,43106293,Porto Alegre,"-30,11659838","-51,17917355",10629,Esc Est Ens Fun,Dr Pacheco Prates,Pça Nossa Senhora de Belem Sn,5132452889,91712240,4314902
1,43106307,Porto Alegre,"-30,08990913","-51,21466628",10630,Esc Est Ens Fun,Dr Victor de Britto,R Sebastiao Wolf 231,(51) 3242-5188,91720540,4314902
1,43106315,Porto Alegre,"-30,05187233","-51,21571496",10631,Esc Est Ens Fun,Duque de Caxias,R Gen Caldwell 1175,(51) 3223-1530,90130051,4314902
1,43106323,Porto Alegre,"-30,01538269","-51,0999649",10632,Esc Est Ens Fun,Eng Rodolfo Ahrons,R Antonio Severino Neto 109,5133681023,91250330,4314902
1,43106331,Porto Alegre,"-30,07804865","-51,1919516",10633,Esc Est Ens Fun,Espírito Santo,R Ascencao 245,(51) 3384-3097,91710180,4314902
1,43106340,Porto Alegre,"-30,03636266","-51,23394659",10634,Esc Est Ens Fun,Estado do Rio Grande do Sul,R Washington Luiz 980,(51) 3225-5875,90010460,4314902
1,43106358,Porto Alegre,"-30,06335874","-51,22739618",10635,Esc Est Ens Fun,Euclides da Cunha,R Barao do Cerro Largo 385,5132336323,90850110,4314902
1,43106366,Porto Alegre,"-30,09254197","-51,13565857",10636,Esc Est Ens Fun,Eva Carminatti,R Papa Joao Paulo Ii 145 Parada 3,5133221702,91550550,4314902
1,43106374,Porto Alegre,"-30,21193","-51,183416",10637,Esc Est Ens Fun,Evarista Flores da Cunha,Pça Inacio Antonio da Silva Sn Sn,5132591353,91780330,4314902
1,43106382,Porto Alegre,"-30,05886793","-51,14801352",10638,Esc Est Ens Fun,Evaristo Gonçalves Netto,R Um - Cefer 2 393,(51) 3386-1162,91430370,4314902
1,43106390,Porto Alegre,"-30,01946455","-51,17960458",10639,Esc Est Ens Fun,Fabiola Pinto Dornelles,R Dr Eduardo Chartier 1192,5133428590,90520100,4314902
1,43106412,Porto Alegre,"-30,09179036","-51,23768815",10641,Esc Est Ens Fun,Fernando Ferrari,R Upamoroti 1200,(51) 3247-2254,90820140,4314902
1,43106420,Porto Alegre,"-30,04821915","-51,16931476",10642,Esc Est Ed Bas,Fernando Gomes,R Prof Frederico G Gaelzer 168,(51) 3381-7722,91410140,4314902
1,43106439,Porto Alegre,"-30,22017083","-51,09707586",10643,Esc Est Ens Med,Oscar Coelho de Souza,Etr do Varejao 372,(51) 3258-5543,91787170,4314902
1,43106447,Porto Alegre,"-30,05715395","-51,20636206",10644,Esc Est Ens Fun,Gabriela Mistral,R Carlos Pessoa de Brum 150,5132235002,90640140,4314902
1,43106455,Porto Alegre,"-30,05371826","-51,14998947",10645,Esc Est Ens Fun,Gen Iba Ilha Moreira,R Hum Cefer 1 Sn,(51) 3351-2840,91430320,4314902
1,43106463,Porto Alegre,"-30,01866564","-51,19646763",10646,Esc Est Ens Fun,General Daltro Filho,Av America 145,(51) 3343-1108,90440020,4314902
1,43106480,Porto Alegre,"-30,09066249","-51,18072306",10648,Esc Est Ens Med,Professor Oscar Pereira,R Francisco Martins Sn,5133185010,91712150,4314902
1,43106498,Porto Alegre,"-30,02262413","-51,15332999",10649,Esc Est Ed Bas,Gomes Carneiro,Pça Paulo de Aragao Bozano Sn,(51) 3340-7090,91360160,4314902
1,43106501,Porto Alegre,"-30,01015675","-51,17395065",10650,Esc Est Ens Fun,Gonçalves Dias,R Candiota 145,5133412203,91030020,4314902
1,43106528,Porto Alegre,"-30,01055699","-51,14065602",10652,Esc Est Ens Fun,Dr Gustavo Armbrust,R Professor Emilio Kemp 65,(51) 3348-3847,91380380,4314902
1,43106536,Porto Alegre,"-30,21425377","-51,05066288",10653,Esc Est Ens Fun,Heitor Villa Lobos,Etr da Extrema 2943,5132586972,91787540,4314902
1,43106544,Porto Alegre,"-30,15922413","-51,1606622",10654,Esc Est Ens Fun,Henrique Farjat,Etr Edgar Pires de Castro 3050,(51) 3248-0088,91788690,4314902
1,43106552,Porto Alegre,"-29,99111322","-51,12116729",10655,Esc Est Ens Fun,Humaitá,R Rua Senhor do Bom Fim S/n,5133648774,91140190,4314902
1,43106560,Porto Alegre,"-30,04574512","-51,2125348",10656,Esc Est Ens Fun,Ildefonso Gomes,R Luiz Manoel 2,(51) 3217-4427,90040390,4314902
1,43106587,Porto Alegre,"-30,01965963","-51,14199732",10658,Esc Est Ens Med,Italia,Av Prof Paula Soares 1095,5133484533,91220450,4314902
